interval_begin_s,interval_end_s,interval_begin_hhmm,edge_id,speed_mean_ms,speed_min_ms,speed_max_ms,speed_std_ms,density_mean_vkl,density_min_vkl,density_max_vkl,density_std_vkl,n_runs
36000.0,36900.0,10:00,-449880197#1,8.2100,7.8800,8.5400,0.4667,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-450227283#1,8.3950,8.0600,8.7300,0.4738,0.7950,0.7600,0.8300,0.0495,2
36000.0,36900.0,10:00,-451081200,12.4650,12.0800,12.8500,0.5445,0.5350,0.5200,0.5500,0.0212,2
36000.0,36900.0,10:00,-452105746#0,8.3200,7.9100,8.7300,0.5798,0.2650,0.2500,0.2800,0.0212,2
36000.0,36900.0,10:00,-452105746#1,8.3250,7.9200,8.7300,0.5728,0.2650,0.2500,0.2800,0.0212,2
36000.0,36900.0,10:00,-455063592,11.7050,10.6900,12.7200,1.4354,0.0950,0.0900,0.1000,0.0071,2
36000.0,36900.0,10:00,-456598077,11.1100,11.1100,11.1100,0.0000,0.1000,0.1000,0.1000,0.0000,2
36000.0,36900.0,10:00,-4652433,16.1500,16.1500,16.1500,0.0000,0.0700,0.0700,0.0700,0.0000,1
36000.0,36900.0,10:00,-661903030,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-673497909,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-673497910#0,8.0550,7.8600,8.2500,0.2758,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-681388530#0,13.3550,10.5500,16.1600,3.9669,0.0450,0.0200,0.0700,0.0354,2
36000.0,36900.0,10:00,-681388530#1,13.3550,10.5500,16.1600,3.9669,0.0900,0.0700,0.1100,0.0283,2
36000.0,36900.0,10:00,-68756016#1,9.1250,8.8600,9.3900,0.3748,0.6100,0.5900,0.6300,0.0283,2
36000.0,36900.0,10:00,-68756016#2,9.1400,8.8600,9.4200,0.3960,0.6100,0.5900,0.6300,0.0283,2
36000.0,36900.0,10:00,-68756016#3,9.1350,8.8600,9.4100,0.3889,0.6100,0.5900,0.6300,0.0283,2
36000.0,36900.0,10:00,-71181686#0,9.1650,8.3600,9.9700,1.1384,0.1200,0.1100,0.1300,0.0141,2
36000.0,36900.0,10:00,-71181686#1,9.1650,8.3300,10.0000,1.1809,0.1200,0.1100,0.1300,0.0141,2
36000.0,36900.0,10:00,-71181686#2,9.1650,8.3300,10.0000,1.1809,0.1200,0.1100,0.1300,0.0141,2
36000.0,36900.0,10:00,-71181686#3,9.1650,8.3600,9.9700,1.1384,0.1200,0.1100,0.1300,0.0141,2
