camera,date,time,timestamp,car,motorcycle,bus,truck,total,filepath
CM_A69A1,2025-04-01,08:24:46,2025-04-01 08:24:46,3,0,0,0,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-082446.jpg
CM_A69A1,2025-04-01,08:35:07,2025-04-01 08:35:07,0,0,1,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-083507.jpg
CM_A69A1,2025-04-01,08:45:05,2025-04-01 08:45:05,5,0,0,0,5,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-084505.jpg
CM_A69A1,2025-04-01,08:55:31,2025-04-01 08:55:31,4,0,0,0,4,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-085531.jpg
CM_A69A1,2025-04-01,09:04:47,2025-04-01 09:04:47,6,0,0,0,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-090447.jpg
CM_A69A1,2025-04-01,09:15:15,2025-04-01 09:15:15,4,0,0,0,4,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-091515.jpg
CM_A69A1,2025-04-01,09:25:02,2025-04-01 09:25:02,5,0,1,0,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-092502.jpg
CM_A69A1,2025-04-01,09:30:30,2025-04-01 09:30:30,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-093030.jpg
CM_A69A1,2025-04-01,09:39:34,2025-04-01 09:39:34,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-093934.jpg
CM_A69A1,2025-04-01,09:44:34,2025-04-01 09:44:34,5,0,0,0,5,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-094434.jpg
CM_A69A1,2025-04-01,09:50:46,2025-04-01 09:50:46,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-095046.jpg
